address,speed,heading,timestamp,rssi,receiver,callsign,altitude,latitude,longitude,distance
4850F6,,,2025-05-24T21:57:44.567722446+02:00,-140.27045305409118,zi-5067,,24725.0,52.0846,6.60184,24.4960529296378
4079F7,,,2025-05-24T21:57:44.899269105+02:00,-203.47432270436485,zi-5067,,37975.0,52.20638,6.41955,30.085457673291973
4850F6,,,2025-05-24T21:57:45.553444342+02:00,-165.30517233287046,zi-5067,,24750.0,52.08371,6.60553,24.387252408605296
4079F7,,,2025-05-24T21:57:45.882232844+02:00,-206.40457843759185,zi-5067,,37975.0,52.2061,6.41649,30.29622369426628
4850F6,,,2025-05-24T21:57:46.6476225+02:00,-164.08976202066964,zi-5067,,24775.0,52.08278,6.60945,24.273195865094564
4079F7,,,2025-05-24T21:57:46.97112135+02:00,-256.38623207964974,zi-5067,,37975.0,52.20582,6.4135,30.50225886942661
4079F7,,,2025-05-24T21:57:47.844836858+02:00,-319.2426193352009,zi-5067,,37975.0,52.20554,6.41076,30.691392695434466
71C391,,,2025-05-24T21:57:48.390511371+02:00,-81.47177425341859,zi-5067,,22450.0,51.7713,6.21391,68.17854141827178
4079F7,,,2025-05-24T21:57:48.8317449+02:00,-387.9610160828018,zi-5067,,37975.0,52.20525,6.40755,30.91244679942489
4850F6,,,2025-05-24T21:57:48.939331045+02:00,-100.15837458745024,zi-5067,,24825.0,52.08092,6.61738,24.049499083859672
4079F7,,,2025-05-24T21:57:49.920511048+02:00,-419.22982956845993,zi-5067,,37975.0,52.20497,6.4045,31.122546579092315
4850F6,,,2025-05-24T21:57:49.921611149+02:00,-142.32779068052733,zi-5067,,24850.0,52.08014,6.62071,23.959017939265202
4D2417,,,2025-05-24T21:57:50.684515972+02:00,-92.1078172578202,zi-5067,,19675.0,52.13581,5.86458,68.68747549581724
44CE6C,,,2025-05-24T21:57:50.687922244+02:00,-72.40718196422232,zi-5067,,38650.0,52.17229,5.63675,83.54917751502929
4079F7,,,2025-05-24T21:57:50.797570018+02:00,-421.2383529547138,zi-5067,,37975.0,52.20466,6.40158,31.32427607503309
4850F6,,,2025-05-24T21:57:51.014450305+02:00,-187.6035713945766,zi-5067,,24875.0,52.07922,6.62453,23.859937016496076
4D2417,,,2025-05-24T21:57:51.122742751+02:00,-101.83737035096694,zi-5067,,19675.0,52.13525,5.86578,68.61768357150706
4D2417,,,2025-05-24T21:57:51.562866306+02:00,-99.67346688060972,zi-5067,,19650.0,52.1348,5.86678,68.55925988282279
44CE6C,,,2025-05-24T21:57:51.778859945+02:00,-74.524492618199,zi-5067,,38675.0,52.17375,5.63913,83.37200062147461
4850F6,,,2025-05-24T21:57:51.888198841+02:00,-93.9986702033598,zi-5067,,24875.0,52.07849,6.62766,23.7789051782451
4079F7,,,2025-05-24T21:57:51.889889852+02:00,-409.25120647348126,zi-5067,,37975.0,52.20438,6.3982,31.556692375233304
4D2417,,,2025-05-24T21:57:52.108483103+02:00,-111.6554969537998,zi-5067,,19650.0,52.13411,5.86823,68.47537817558879
71C391,,,2025-05-24T21:57:52.323980802+02:00,-79.17007010228045,zi-5067,,22550.0,51.76595,6.22368,68.20738906320763
4D2417,,,2025-05-24T21:57:52.650540225+02:00,-96.11789635650584,zi-5067,,19650.0,52.13356,5.86945,68.40429199372657
44CE6C,,,2025-05-24T21:57:52.871767258+02:00,-90.24799166740496,zi-5067,,38700.0,52.17535,5.64171,83.18005576603248
4079F7,,,2025-05-24T21:57:52.978340994+02:00,-404.1947550377169,zi-5067,,37975.0,52.20405,6.39522,31.762764190136195
4850F6,,,2025-05-24T21:57:52.980811225+02:00,-169.76483734860997,zi-5067,,24900.0,52.07758,6.63147,23.684668001179876
4D2417,,,2025-05-24T21:57:52.981578366+02:00,-109.1260738778776,zi-5067,,19625.0,52.1331,5.87036,68.35231070022554
485A81,,,2025-05-24T21:57:53.307855801+02:00,-73.35189159115122,zi-5067,,19075.0,52.36903,6.25805,43.278595885470295
4D2417,,,2025-05-24T21:57:53.524757981+02:00,-66.16910155049712,zi-5067,,19625.0,52.13255,5.87156,68.28271301367691
44CE6C,,,2025-05-24T21:57:53.852845818+02:00,-89.83735303313426,zi-5067,,38700.0,52.17659,5.64377,83.02741225985878
4850F6,,,2025-05-24T21:57:53.963939735+02:00,-127.6698868175264,zi-5067,,24925.0,52.07671,6.63498,23.60312339146956
4079F7,,,2025-05-24T21:57:54.070146608+02:00,-415.1682791350996,zi-5067,,37975.0,52.20377,6.39185,31.994508568858137
485A81,,,2025-05-24T21:57:54.401283875+02:00,-75.13787327307048,zi-5067,,19050.0,52.36954,6.25565,43.451123558512066
44CE6C,,,2025-05-24T21:57:54.83710688+02:00,-88.86703550811178,zi-5067,,38725.0,52.17801,5.64606,82.85753673846415
4850F6,,,2025-05-24T21:57:54.83827964+02:00,-134.64007575755443,zi-5067,,24950.0,52.07599,6.63802,23.53168130553309
4079F7,,,2025-05-24T21:57:55.057604392+02:00,-420.0228565209279,zi-5067,,37975.0,52.20345,6.38847,32.22749021447023
44CE6C,,,2025-05-24T21:57:55.822771496+02:00,-71.89471468752066,zi-5067,,38725.0,52.17947,5.64846,82.68005409019132
4850F6,,,2025-05-24T21:57:55.9301746+02:00,-153.98847359461683,zi-5067,,24975.0,52.07506,6.64192,23.44333722670431
4079F7,,,2025-05-24T21:57:56.149459958+02:00,-406.5850464539984,zi-5067,,37975.0,52.20314,6.38527,32.448166218492446
44CE6C,,,2025-05-24T21:57:56.911464482+02:00,-64.94382187706542,zi-5067,,38750.0,52.18087,5.65074,82.51157266495971
4850F6,,,2025-05-24T21:57:57.019603787+02:00,-99.01893758266648,zi-5067,,25000.0,52.07422,6.64547,23.365085962730923
4079F7,,,2025-05-24T21:57:57.131954953+02:00,-383.0429479836432,zi-5067,,37975.0,52.20282,6.38222,32.658845780288814
485A81,,,2025-05-24T21:57:57.351395187+02:00,-83.51197518919068,zi-5067,,18950.0,52.37086,6.24931,43.90587572622956
4850F6,,,2025-05-24T21:57:57.893862722+02:00,-170.88022120772197,zi-5067,,25000.0,52.07347,6.64869,23.29532982792089
4079F7,,,2025-05-24T21:57:58.00621707+02:00,-352.80391154294193,zi-5067,,37975.0,52.20261,6.3796,32.838913046695026
4D2417,,,2025-05-24T21:57:58.54926821+02:00,-70.02606657524039,zi-5067,,19500.0,52.12697,5.88364,67.58751039847601
4D2417,,,2025-05-24T21:57:58.989564944+02:00,-78.89581737963046,zi-5067,,19500.0,52.1264,5.88483,67.51991340380597
4079F7,,,2025-05-24T21:57:59.096139567+02:00,-304.9063790739708,zi-5067,,37975.0,52.20227,6.37642,33.05866824130165
4D2417,,,2025-05-24T21:57:59.536581228+02:00,-83.81676443289851,zi-5067,,19500.0,52.12573,5.88631,67.43512849246503
4850F6,,,2025-05-24T21:57:59.859991479+02:00,-112.98362713243012,zi-5067,,25050.0,52.0718,6.6556,23.15836967436477
4079F7,,,2025-05-24T21:57:59.969879655+02:00,-253.0727168226556,zi-5067,,37975.0,52.20204,6.37367,33.2478078871182
4D2417,,,2025-05-24T21:58:00.08062599+02:00,-84.79976415061542,zi-5067,,19475.0,52.12519,5.88749,67.36774404055024
485A81,,,2025-05-24T21:58:00.734321528+02:00,-86.36405502290869,zi-5067,,18825.0,52.37238,6.24214,44.421145055565354
4850F6,,,2025-05-24T21:58:00.842626782+02:00,-127.37994347620037,zi-5067,,25075.0,52.07103,6.65894,23.09250534361784
485778,,,2025-05-24T21:58:00.842630932+02:00,-68.0312428226914,zi-5067,,13350.0,51.99641,5.06752,125.18797775611698
4079F7,,,2025-05-24T21:58:01.06192286+02:00,-215.00918585027944,zi-5067,,37975.0,52.20172,6.37032,33.47877855339924
4850F6,,,2025-05-24T21:58:01.609520016+02:00,-146.92089708411123,zi-5067,,25075.0,52.07031,6.66187,23.04071904292143
4079F7,,,2025-05-24T21:58:01.93806703+02:00,-218.5790474862584,zi-5067,,37975.0,52.20145,6.36757,33.668487220280355
4D2417,,,2025-05-24T21:58:02.590686757+02:00,-70.2079055377669,zi-5067,,19400.0,52.12253,5.89325,67.04050883969438
4850F6,,,2025-05-24T21:58:02.592944448+02:00,-109.1844769186536,zi-5067,,25100.0,52.06952,6.66533,22.976508844942938
4079F7,,,2025-05-24T21:58:02.921020575+02:00,-223.30528430827604,zi-5067,,37975.0,52.20117,6.36459,33.87388664345462
4850F6,,,2025-05-24T21:58:03.467573046+02:00,-131.44884936734897,zi-5067,,25125.0,52.06879,6.6684,22.924367681825377
485A81,,,2025-05-24T21:58:03.684665167+02:00,-81.18959292914333,zi-5067,,18725.0,52.37373,6.23568,44.88466268749413
4079F7,,,2025-05-24T21:58:04.009725909+02:00,-215.2047861921291,zi-5067,,37975.0,52.20085,6.36154,34.08458812909581
4079F7,,,2025-05-24T21:58:04.778370783+02:00,-211.3850751590566,zi-5067,,37975.0,52.20061,6.35889,34.26711842458075
4850F6,,,2025-05-24T21:58:05.543402091+02:00,-152.8499263984121,zi-5067,,25175.0,52.067,6.6758,22.8101099163753
4079F7,,,2025-05-24T21:58:05.866687716+02:00,-181.25024137914963,zi-5067,,37975.0,52.20033,6.3559,34.47320060910022
4D2417,,,2025-05-24T21:58:06.3066778+02:00,-66.95446213658953,zi-5067,,19275.0,52.1183,5.90233,66.52952592862376
4850F6,,,2025-05-24T21:58:06.633369846+02:00,-169.3663189657259,zi-5067,,25200.0,52.06613,6.67946,22.75672119924713
4079F7,,,2025-05-24T21:58:06.741563621+02:00,-125.3010375056807,zi-5067,,37975.0,52.20009,6.35316,34.66181704731818
4D2417,,,2025-05-24T21:58:07.398667732+02:00,-100.96979746439033,zi-5067,,19250.0,52.11708,5.90492,66.38501338840624
4850F6,,,2025-05-24T21:58:07.61759732+02:00,-157.48428493027487,zi-5067,,25200.0,52.06526,6.68304,22.70922850269868
4079F7,,,2025-05-24T21:58:07.725327274+02:00,-78.62060798543853,zi-5067,,37975.0,52.19977,6.3501,34.873205658209635
4D2417,,,2025-05-24T21:58:07.945746847+02:00,-142.4710496908056,zi-5067,,19225.0,52.11653,5.90609,66.31984410669479
4D2417,,,2025-05-24T21:58:08.492404468+02:00,-114.9858686969838,zi-5067,,19200.0,52.11588,5.90751,66.2404507896079
4850F6,,,2025-05-24T21:58:08.59716644+02:00,-147.16368437899345,zi-5067,,25225.0,52.06453,6.68625,22.664373689516772
4D2417,,,2025-05-24T21:58:08.927249199+02:00,-141.70832720768388,zi-5067,,19175.0,52.11542,5.90853,66.18333318238824
4D2417,,,2025-05-24T21:58:09.364185657+02:00,-104.34797554337123,zi-5067,,19175.0,52.1149,5.9097,66.11770934458691
4850F6,,,2025-05-24T21:58:09.691601253+02:00,-116.1882093846015,zi-5067,,25250.0,52.06356,6.69028,22.616481936680707
4079F7,,,2025-05-24T21:58:09.692220614+02:00,-100.37454856685532,zi-5067,,37975.0,52.19921,6.34398,35.29484706057746
4D2417,,,2025-05-24T21:58:09.802359279+02:00,-120.13742131409346,zi-5067,,19150.0,52.11444,5.91064,66.06605785539335
4D2417,,,2025-05-24T21:58:10.34757249+02:00,-85.74176345282386,zi-5067,,19150.0,52.11388,5.91179,66.00288223850845
4079F7,,,2025-05-24T21:58:10.565791511+02:00,-109.3245169209542,zi-5067,,37975.0,52.19897,6.3414,35.4726564150638
4850F6,,,2025-05-24T21:58:10.676354887+02:00,-154.51747473991412,zi-5067,,25275.0,52.06272,6.69381,22.576685743497226
4D2417,,,2025-05-24T21:58:10.783071368+02:00,-97.2519922675109,zi-5067,,19125.0,52.11346,5.91278,65.9470624319788
4079F7,,,2025-05-24T21:58:11.658118368+02:00,-111.1404516816447,zi-5067,,37975.0,52.19865,6.33804,35.704331220165336
4850F6,,,2025-05-24T21:58:11.768709804+02:00,-154.36887639676593,zi-5067,,25300.0,52.06178,6.69769,22.537899575907158
485778,,,2025-05-24T21:58:11.875729028+02:00,-65.15941988692042,zi-5067,,13825.0,51.98227,5.0808,124.67208849650396
4079F7,,,2025-05-24T21:58:12.534627451+02:00,-106.56054616977148,zi-5067,,37975.0,52.19838,6.3353,35.89338876736108
485778,,,2025-05-24T21:58:12.752438621+02:00,-65.99545438891985,zi-5067,,13850.0,51.98112,5.08186,124.63250791440008
4850F6,,,2025-05-24T21:58:12.858287911+02:00,-162.5910514142768,zi-5067,,25325.0,52.06091,6.70128,22.505179333075265
4079F7,,,2025-05-24T21:58:13.730734264+02:00,-90.93761597930748,zi-5067,,37975.0,52.19806,6.33194,36.125068852676534
