,address,speed,heading,timestamp,rssi,receiver,callsign,altitude,latitude,longitude,distance
11339,48978A,,,2025-05-25T10:58:08.224376086+02:00,-249.812229484467,zi-5110,,25825.0,52.27249,6.89735,4.587102613018787
15664,4BB02A,,,2025-05-25T11:30:25.9061844+02:00,-74.5758003644614,zi-5110,,25250.0,52.22533,6.92154,4.586460921514154
7483,4841A5,,,2025-05-25T10:36:46.779113631+02:00,-134.86715686185426,zi-5110,,27975.0,52.24101,6.92523,4.5831966035930405
11275,48978A,,,2025-05-25T10:57:42.229936736+02:00,-36.27395760046041,zi-5110,,25350.0,52.26846,6.81145,4.5575429937463605
4518,48520D,,,2025-05-25T10:24:54.72922196+02:00,-243.9349298481052,zi-5110,,25700.0,52.27956,6.84856,4.555601030901268
6514,4CA8D5,,,2025-05-25T10:34:08.838329398+02:00,-39.72971180363633,zi-5110,,37000.0,52.22612,6.92147,4.553539401404253
4198,48520D,,,2025-05-25T10:24:19.010663422+02:00,-27.79658252375641,zi-5110,,26750.0,52.24187,6.92436,4.529716710717702
11860,502D29,,,2025-05-25T11:00:27.051440768+02:00,-55.31726674375732,zi-5110,,26600.0,52.22686,6.79465,4.520498480600872
11337,48978A,,,2025-05-25T10:58:07.679822679+02:00,-38.98461234897687,zi-5110,,25800.0,52.27244,6.89557,4.512847466585104
6960,48418D,,,2025-05-25T10:35:25.404746088+02:00,-89.35351140274231,zi-5110,,27500.0,52.27886,6.85005,4.465136067997591
4203,48520D,,,2025-05-25T10:24:19.451062911+02:00,-238.36757329804732,zi-5110,,26750.0,52.24237,6.92322,4.456595398924603
6783,48418D,,,2025-05-25T10:34:52.201777421+02:00,-155.29938827954217,zi-5110,,27850.0,52.24278,6.92288,4.437592811744374
11334,48978A,,,2025-05-25T10:58:07.131368787+02:00,-372.5677119665632,zi-5110,,25800.0,52.27235,6.89362,4.430603432294601
7488,4841A5,,,2025-05-25T10:36:47.871204708+02:00,-164.10530155969977,zi-5110,,27975.0,52.24227,6.92272,4.421748707770858
4510,48520D,,,2025-05-25T10:24:53.743974277+02:00,-179.9441580046432,zi-5110,,25750.0,52.27844,6.85074,4.413277701351333
11278,48978A,,,2025-05-25T10:57:43.214561342+02:00,-77.39476726497728,zi-5110,,25350.0,52.26862,6.8149,4.410775614875169
5668,46B82F,,,2025-05-25T10:30:34.753672557+02:00,-32.45227264768987,zi-5110,,26900.0,52.223,6.91723,4.408752011172659
4208,48520D,,,2025-05-25T10:24:20.102982175+02:00,-33.68605052540295,zi-5110,,26725.0,52.24297,6.92209,4.3861136130803855
11332,48978A,,,2025-05-25T10:58:06.586606815+02:00,-51.818433013745214,zi-5110,,25775.0,52.27226,6.89209,4.3660036197722345
6506,4CA8D5,,,2025-05-25T10:34:08.072138963+02:00,-46.61115746256469,zi-5110,,37000.0,52.22653,6.91864,4.356268545992011
4214,48520D,,,2025-05-25T10:24:20.540030589+02:00,-199.6026051934193,zi-5110,,26700.0,52.24342,6.92116,4.328490832580953
6953,48418D,,,2025-05-25T10:35:24.311890744+02:00,-122.51244834709654,zi-5110,,27500.0,52.27771,6.85242,4.321078250917729
6786,48418D,,,2025-05-25T10:34:53.075473858+02:00,-117.84438892030455,zi-5110,,27850.0,52.24374,6.92093,4.317116226178693
11280,48978A,,,2025-05-25T10:57:44.085216395+02:00,-47.50526286633935,zi-5110,,25375.0,52.26876,6.81749,4.307473375127868
11331,48978A,,,2025-05-25T10:58:06.040970126+02:00,-376.0997872905541,zi-5110,,25775.0,52.27216,6.89015,4.287714610120271
3467,46A5E1,,,2025-05-25T10:19:04.549670386+02:00,-39.60113634733226,zi-5110,,26650.0,52.21304,6.90451,4.285810264590955
7495,4841A5,,,2025-05-25T10:36:48.961356896+02:00,-132.0778179710734,zi-5110,,27975.0,52.24352,6.92032,4.2729598469827
4220,48520D,,,2025-05-25T10:24:20.980336753+02:00,-33.87476937190864,zi-5110,,26700.0,52.24397,6.92009,4.263583919427675
15710,4BB02A,,,2025-05-25T11:31:11.239229141+02:00,-27.33404470619012,zi-5110,,24475.0,52.25181,6.7996,4.223464949261834
11329,48978A,,,2025-05-25T10:58:05.495030984+02:00,-43.14510400960925,zi-5110,,25750.0,52.27208,6.88835,4.218739084156707
11701,502D29,,,2025-05-25T10:59:55.377391966+02:00,-32.13642792844282,zi-5110,,27575.0,52.20508,6.88568,4.216767896534157
4225,48520D,,,2025-05-25T10:24:21.523804367+02:00,-153.49918566559236,zi-5110,,26675.0,52.24452,6.91902,4.199830244418948
11282,48978A,,,2025-05-25T10:57:44.961580271+02:00,-118.3733500412994,zi-5110,,25375.0,52.26892,6.8206,4.1892339314486735
6947,48418D,,,2025-05-25T10:35:23.22152287+02:00,-123.17670234261024,zi-5110,,27525.0,52.27658,6.85461,4.185070740016799
4501,48520D,,,2025-05-25T10:24:51.888759154+02:00,-143.46097030203023,zi-5110,,25775.0,52.27657,6.85455,4.184187682961546
6791,48418D,,,2025-05-25T10:34:54.165296548+02:00,-152.0554175292679,zi-5110,,27825.0,52.24489,6.91856,4.175087389559712
11327,48978A,,,2025-05-25T10:58:05.059503044+02:00,-357.02499912471114,zi-5110,,25750.0,52.27203,6.88698,4.168969268295241
5912,46B82F,,,2025-05-25T10:31:19.863001154+02:00,-44.45503346079047,zi-5110,,25375.0,52.25749,6.80477,4.166417668725141
15667,4BB02A,,,2025-05-25T11:30:27.983093969+02:00,-55.50135133489995,zi-5110,,25225.0,52.22658,6.91559,4.158034239609249
11849,502D29,,,2025-05-25T11:00:24.759289848+02:00,-44.109522781367744,zi-5110,,26675.0,52.2253,6.8013,4.151061002326861
7505,4841A5,,,2025-05-25T10:36:50.055337415+02:00,-138.05325059555824,zi-5110,,27975.0,52.24484,6.91772,4.117733300419574
11325,48978A,,,2025-05-25T10:58:04.512299132+02:00,-42.609858014314014,zi-5110,,25725.0,52.27194,6.88545,4.111798613316605
6499,4CA8D5,,,2025-05-25T10:34:07.086894679+02:00,-35.77848515518788,zi-5110,,37000.0,52.22714,6.91503,4.101615775352893
4494,48520D,,,2025-05-25T10:24:50.907256746+02:00,-213.40208527565983,zi-5110,,25800.0,52.27556,6.85649,4.066585496225852
4236,48520D,,,2025-05-25T10:24:22.616173437+02:00,-169.41148131103748,zi-5110,,26650.0,52.24567,6.91666,4.062275082909245
11283,48978A,,,2025-05-25T10:57:46.053899525+02:00,-90.10660353159471,zi-5110,,25400.0,52.26909,6.82424,4.059018731570423
6940,48418D,,,2025-05-25T10:35:22.129039378+02:00,-117.0192291890525,zi-5110,,27525.0,52.27542,6.85692,4.050386337200592
